,index,0
135,distribution,375
136,discrete,53
137,support,64
138,output,48
139,approximation,135
140,accurate,68
141,possible,235
142,ell1,5
143,distance,128
144,ie,99
145,total,136
146,variation,48
147,statistical,119
148,perhaps,13
149,surprisingly,13
150,often,72
151,empirical,57
152,samples,110
153,return,13
154,true,43
155,significantly,100
156,without,132
157,relying,6
158,prior,58
159,assumptions,57
160,instance,21
161,optimal,132
162,algorithm,255
163,optimally,8
164,performs,16
165,denoising,10
166,every,88
167,formally,7
168,returns,3
169,labelled,5
170,vector,124
171,whose,99
172,expected,116
173,equal,44
174,minimum,76
175,error,92
176,could,131
177,obtained,309
178,knows,2
179,unlabeled,15
180,probabilities,33
181,simply,14
182,needs,21
183,assign,2
184,labels,22
185,additive,13
186,term,74
187,zero,78
188,gets,4
189,conceptual,6
190,implication,4
191,result,289
192,bayesian,55
193,shape,62
194,bounds,86
195,tail,18
196,helpful,2
197,consequence,39
198,techniques,97
199,set,303
200,arbitrary,89
201,accurately,23
202,distinct,54
203,elements,81
204,observed,392
205,sample,265
206,size,182
207,extrapolation,6
208,practically,8
209,relevant,60
210,particularly,34
211,domains,42
212,genomics,2
213,important,179
214,understand,36
215,might,55
216,discovered,39
217,larger,147
218,sizes,42
219,approach,315
220,viable,12
221,paper,464
222,characterise,6
223,family,57
224,finite,161
225,arctransitive,7
226,bicirculant,3
227,normal,56
228,rcover,2
229,graph,220
230,lies,10
231,eight,12
232,infinite,48
233,families,26
234,seven,15
235,sporadic,2
236,graphs,160
237,moreover,86
238,either,94
239,circulant,15
240,latter,64
241,case,306
242,integer,39
243,control,94
244,condensed,5
245,matter,253
246,systems,295
247,equilibrium,58
248,laser,79
249,pulses,47
250,allows,132
251,us,119
252,investigate,210
253,system,372
254,trajectories,19
255,symmetrybreaking,2
256,transitions,61
257,thus,138
258,evolution,261
259,collective,16
260,single,176
261,excitations,30
262,diverse,11
263,femtosecond,14
264,resolution,106
265,experimental,172
266,observations,357
267,trajectory,16
268,normalsuperconductor,2
269,chargedensity,2
270,wave,166
271,ordering,21
272,particular,199
273,interest,50
274,coherent,37
275,topological,87
276,defects,39
277,forming,39
278,mechanism,108
279,appears,49
280,measurable,10
281,optical,319
282,pump,19
283,probe,64
284,experiments,157
285,cdw,3
286,reveal,49
287,phenomena,55
288,oscillations,57
289,creation,8
290,emission,373
291,dispersive,13
292,upon,60
293,annihilation,20
294,mixing,67
295,weakly,31
296,coupled,88
297,massive,184
298,bosons,21
299,report,122
300,direct,82
301,detection,132
302,time,446
303,correlated,38
304,singleelectron,11
305,tunneling,34
306,series,95
307,array,51
308,tunnel,7
309,junctions,9
310,made,87
311,lattice,77
312,charge,87
313,solitons,3
314,moving,41
315,throughout,13
316,frequency,161
317,electron,191
318,detect,65
319,charges,17
320,integrated,42
321,radiofrequency,3
322,transistor,14
323,employed,33
324,different,430
325,methods,256
326,couple,15
327,input,71
328,injection,23
329,junction,19
330,type,209
331,domain,98
332,currents,30
333,means,74
334,counting,18
335,static,40
336,black,209
337,holes,95
338,twodimensional,64
339,theory,447
340,carry,19
341,tachyon,8
342,hair,4
343,configurations,44
344,nonsingular,4
345,event,44
346,horizon,43
347,nonvanishing,7
348,asymptotic,63
349,density,431
350,solutions,286
351,smoothly,8
352,extended,107
353,emerging,17
354,past,28
355,singularity,26
356,dynamical,97
357,processes,123
358,change,80
359,amount,49
360,hole,168
361,formed,48
362,gravitational,154
363,collapse,41
364,initial,150
365,geometry,80
366,linear,229
367,dilaton,11
368,vacuum,62
369,exist,55
370,singular,35
371,horizons,6
372,simple,194
373,arguments,25
374,suggest,101
375,part,107
376,problems,168
377,physics,100
378,computer,25
379,science,21
380,expressed,19
381,computation,55
382,marginal,15
383,markov,27
384,random,97
385,field,683
386,belief,3
387,propagation,54
388,exact,79
389,procedure,66
390,compute,86
391,marginals,2
392,underlying,66
393,tree,47
394,gained,3
395,popularity,4
396,efficient,98
397,way,154
398,approximate,46
399,general,247
400,focus,58
401,aspect,11
402,get,24
403,attention,30
404,literature,83
405,effect,257
406,normalization,16
407,class,184
408,strategies,15
409,convergence,73
410,express,4
411,necessary,62
412,sufficient,49
413,conditions,210
414,local,226
415,stability,75
416,fixed,79
417,point,177
418,terms,209
419,structure,389
420,values,173
421,explicit,64
422,constants,24
423,bethe,3
424,free,92
425,variable,69
426,selection,79
427,clustering,79
428,estimation,82
429,unsupervised,17
430,highdimensional,26
431,setting,43
432,fitting,50
433,constrained,32
434,gaussian,91
435,mixture,30
436,learn,31
437,clusters,242
438,variables,83
439,generalized,94
440,posterior,33
441,sparsity,20
442,inducing,9
443,prove,169
444,oracle,9
445,inequality,19
446,shows,130
447,selects,5
448,parameters,270
449,implemented,29
450,metropolishastings,3
451,greedy,8
452,proposal,14
453,makes,38
454,fast,67
455,electrostatic,9
456,analyze,98
457,electromagnetic,60
458,fields,252
459,sharp,44
460,conical,8
461,metal,69
462,tips,2
463,illuminated,7
464,polarized,45
465,along,130
466,tip,15
467,axis,45
468,establish,68
469,scaling,71
470,relations,72
471,amplitude,85
472,validity,20
473,verified,15
474,numerical,161
475,simulations,237
476,analytic,47
477,expressions,44
478,wavelength,53
479,near,106
480,changes,97
481,direction,83
482,relating,8
483,characteristics,62
484,cone,9
485,angle,75
486,permittivity,14
487,implications,48
488,various,158
489,ranging,19
490,raman,17
491,scattering,155
492,nearfield,20
493,imaging,103
494,photoemission,4
495,spectroscopy,82
496,nanooptical,3
497,trapping,15
498,thermodynamical,5
499,properties,484
500,charged,49
501,horndeski,2
502,kessence,3
503,sector,44
504,define,38
505,holographic,22
506,heat,70
507,engine,14
508,efficiency,91
509,temperature,265
510,limit,166
511,ones,49
512,specified,17
513,rectangular,6
514,higher,202
515,suppresses,2
516,efficiencies,3
517,detecting,21
518,points,114
519,cps,4
520,characterized,58
521,subset,23
522,multidimensional,15
523,sequence,78
524,method,474
525,formulated,14
526,twostage,3
527,selecting,14
528,another,55
529,properly,15
530,false,8
531,probability,125
532,cp,25
533,bias,55
534,stage,34
535,must,56
536,corrected,10
537,main,122
538,contribution,73
539,formulate,10
540,selective,8
541,inference,114
542,demonstrate,220
543,performances,7
544,proposed,216
545,framework,151
546,application,95
547,motivating,2
548,medical,6
549,analysis,371
550,abridged,25
551,wfc3,5
552,installed,3
553,hst,20
554,community,10
555,powerful,37
556,tools,20
557,investigating,15
558,resolved,42
559,stellar,323
560,populations,53
561,galactic,143
562,bulge,27
563,treasury,3
564,program,17
565,obtain,176
566,deep,113
567,enable,35
568,variety,53
569,investigations,13
570,previous,180
571,sets,97
572,aid,3
573,planning,4
574,future,78
575,proposals,5
576,provide,221
577,introduction,25
578,photometric,47
579,associated,164
580,calibration,21
581,effort,12
582,observing,14
583,strategy,29
584,5band,2
585,spanning,18
586,nearinfrared,31
587,bands,37
588,construct,77
589,indices,29
590,teff,9
591,feh,19
592,besides,17
593,target,68
594,wellstudied,5
595,star,314
596,wide,78
597,cluster,304
598,serve,15
599,calibrate,6
600,population,97
601,templates,22
602,correct,28
603,transformation,45
604,isochrones,4
605,shed,13
606,formation,317
607,history,36
608,studies,129
609,includes,38
610,candidate,49
611,hosts,20
612,extrasolar,5
613,planets,22
614,cmds,3
615,popular,28
616,tool,42
617,analyzing,27
618,however,272
619,due,268
620,degeneracies,8
621,among,77
622,reddening,10
623,traditional,25
624,draw,6
625,robust,69
626,conclusions,21
627,roughly,16
628,orthogonal,21
629,argue,38
630,diagram,44
631,make,90
632,better,88
633,information,187
634,separate,17
635,quality,43
636,potential,208
637,starformation,23
638,histories,15
639,mssm,14
640,violation,19
641,channel,54
642,lightest,15
643,neutral,58
644,leading,62
645,oneloop,29
646,h1,14
647,affected,20
648,couplings,33
649,complex,115
650,preliminary,18
651,scan,5
652,supersymmetric,65
653,average,75
654,deviations,20
655,corresponding,137
656,branching,12
657,ratio,134
658,respect,92
659,presence,156
660,stop,7
661,mass,652
662,gev,34
663,cpviolating,3
664,render,6
665,gammagamma,4
666,times,136
667,suitable,38
668,combinations,15
669,major,47
670,development,25
671,recently,146
672,undergone,3
673,quantum,595
674,cascade,11
675,lasers,8
676,effectively,25
677,comb,15
678,spectral,163
679,regions,186
680,mid,8
681,far,71
682,infrared,61
683,unlike,25
684,classical,148
685,pulsed,14
686,combs,8
687,modelocking,2
688,relies,25
689,fourwave,5
690,nonlinear,138
691,temporal,48
692,intensity,71
693,profile,81
694,conventional,55
695,shortpulses,2
696,trains,5
697,measuring,31
698,absolute,28
699,pattern,63
700,enables,35
701,thorough,7
702,characterization,30
703,onset,23
704,absence,28
705,coherence,35
706,combining,44
707,dualcomb,4
708,simultaneously,53
709,acquire,7
710,monitor,7
711,timescales,25
712,generic,21
713,technique,104
714,applied,106
715,characterize,44
716,midinfrared,17
717,terahertz,12
718,conclusively,2
719,proving,9
720,degree,101
721,remarkable,20
722,longterm,14
723,sources,203
724,reconstruction,35
725,electric,69
726,instantaneous,10
727,forecast,8
728,impact,55
729,weak,139
730,lensing,70
731,wl,20
732,cosmological,147
733,constraints,122
734,selected,53
735,galaxy,408
736,counts,10
737,upcoming,7
738,erosita,4
739,survey,148
740,employ,26
741,prototype,7
742,cosmology,33
743,pipeline,7
744,mock,15
745,catalogs,7
746,sampled,14
747,function,468
748,fiducial,10
749,count,12
750,redshift,154
751,modeled,18
752,typical,61
753,exposure,5
754,poisson,21
755,noise,122
756,scatter,44
757,form,207
758,luminosity,139
759,shear,28
760,profiles,117
761,mimic,8
762,des,15
763,hsc,3
764,euclid,2
765,lsst,3
766,surveys,61
767,generate,37
768,baseline,24
769,catalog,27
770,contains,72
771,extragalactic,10
772,sky,61
773,low,252
774,groups,72
775,excluded,8
776,raised,9
777,thresholds,13
778,uncertainties,30
779,omegamathrmm,2
780,sigma8,9
781,respectively,106
782,adopting,8
783,marginalizing,2
784,sum,36
785,masses,163
786,degeneracy,23
787,relation,146
788,limits,51
789,bao,14
790,desi,2
791,improved,50
792,determination,46
793,becomes,46
794,planck,39
795,cmb,49
796,priors,5
797,determined,85
798,limited,61
799,mnu,9
800,ev,21
801,systematics,5
802,group,182
803,controlled,38
804,objects,109
805,constrain,53
806,motivation,13
807,trying,2
808,gravity,127
809,preferred,16
810,reference,27
811,frame,29
812,short,48
813,summarized,8
814,scalar,140
815,dynamics,172
816,governed,10
817,extension,50
818,newtons,2
819,second,138
820,law,50
821,geodesic,16
822,motion,108
823,recovered,14
824,together,61
825,attraction,2
826,spherical,42
827,schwarzschilds,3
828,metric,83
829,got,4
830,scheme,104
831,postminkowskian,2
832,pm,49
833,built,23
834,postnewtonian,15
835,velocity,274
836,may,275
837,comparable,43
838,justify,3
839,0pm,2
840,newtonian,20
841,usually,35
842,done,26
843,isolated,50
844,quadrupole,15
845,monopole,4
846,dipole,44
847,seems,19
848,plausible,11
849,binary,107
850,pulsars,11
851,pulse,56
852,fitted,13
853,timing,12
854,members,28
855,binaries,48
856,pc,55
857,loosely,2
858,bound,168
859,associations,14
860,born,9
861,kinematics,41
862,chemistry,14
863,disrupt,3
864,orbital,55
865,within,287
866,milky,41
867,kinematic,40
868,comoving,11
869,unbound,4
870,coeval,5
871,therefore,80
872,sensitive,59
873,smooth,54
874,tidal,41
875,perturbation,56
876,spectrum,171
877,work,223
878,identified,75
879,pairs,66
880,astrometric,8
881,tychogaia,2
882,solution,194
883,tgas,2
884,separations,15
885,radial,115
886,vast,5
887,majority,23
888,significant,135
889,radialvelocity,5
890,identify,91
891,validate,17
892,confirm,47
893,original,49
894,search,79
895,confirmed,44
896,per,59
897,separation,37
898,decreases,33
899,increasing,69
900,uniform,44
901,approximately,47
902,increases,61
903,discovery,31
904,suggesting,29
905,disrupted,8
906,remain,30
907,spatially,48
908,brain,25
909,decoding,4
910,involves,21
911,subjects,7
912,cognitive,6
913,state,266
914,stimulus,6
915,functional,78
916,neuroimaging,4
917,activity,84
918,typically,44
919,element,29
920,comprise,3
921,amounts,16
922,spatiotemporal,8
923,neural,55
924,signal,111
925,classification,104
926,explore,60
927,principal,17
928,component,113
929,mutual,11
930,networks,88
931,persistent,9
932,homology,2
933,examining,7
934,exploratory,9
935,constructing,18
936,features,176
937,characterizing,12
938,review,54
939,perspective,14
940,incorporate,12
941,classifier,41
942,symmetric,83
943,multinomial,3
944,logistic,7
945,regression,77
946,elastic,32
947,net,14
948,regularization,34
949,approaches,98
950,illustrated,10
951,infer,25
952,video,4
953,shown,207
954,subject,17
955,unique,54
956,existence,142
957,stationary,37
958,navierstokes,32
959,equations,241
960,external,70
961,forces,42
962,belonging,9
963,critical,96
964,best,85
965,knowledge,52
966,largest,34
967,available,107
968,kind,21
969,viewed,17
970,counterpart,23
971,nonstationary,12
972,spaces,74
973,estimates,123
974,singularly,3
975,perturbed,22
976,operator,69
977,semigroup,3
978,boundary,135
979,states,345
980,dirichlet,28
981,closing,3
982,bootstrap,9
983,providing,45
984,complete,79
985,description,59
986,poles,5
987,reflection,37
988,factors,54
989,plays,19
990,role,78
991,lemmas,3
992,introduced,81
993,hold,13
994,11dimensional,2
995,allowing,38
996,ovro,2
997,nobeyama,2
998,iram,8
999,searched,2
1000,three,216
1001,highmass,7
1002,protostar,12
1003,cores,46
1004,oh,10
1005,h2o,14
1006,maser,20
1007,faint,26
1008,continuum,87
1009,molecular,139
1010,line,202
1011,including,143
1012,rotational,33
1013,ch3cn,2
1014,3mm,3
1015,dust,145
1016,revealed,37
1017,compact,102
1018,hmcs,4
1019,likely,82
1020,sites,15
1021,appearance,22
1022,turn,27
1023,outflows,52
1024,co,80
1025,andor,37
1026,hco,18
1027,j10,6
1028,addition,91
1029,gradients,42
1030,kms,55
1031,innermost,3
1032,densest,6
1033,directions,30
1034,perpendicular,25
1035,axes,7
1036,rotating,52
1037,outflow,53
1038,although,81
1039,rotation,129
1040,negligible,15
1041,indicates,49
1042,close,85
1043,virial,23
1044,turbulent,28
1045,pressure,69
1046,comparison,85
1047,similar,177
1048,toroids,2
1049,less,93
1050,prominent,21
1051,explained,32
1052,combined,85
1053,projection,24
1054,angular,94
1055,interferometers,7
1056,full,98
1057,theoretical,170
1058,observational,68
1059,virtual,16
1060,observatory,32
1061,would,83
1062,desirable,6
1063,achievement,3
1064,status,15
1065,offers,27
1066,handle,9
1067,tsap,3
1068,spectra,177
1069,access,10
1070,protocol,19
1071,fill,3
1072,void,18
1073,easily,29
1074,operate,9
1075,useful,52
1076,synthetic,39
1077,types,61
1078,example,84
1079,isochrone,4
1080,evolutionary,47
1081,tracks,5
1082,server,2
1083,finally,141
1084,pay,5
1085,special,59
1086,treatment,28
1087,issue,30
1088,certain,105
1089,spinfoam,2
1090,euclidean,28
1091,relativity,34
1092,defined,91
1093,feynman,9
1094,diagrams,31
1095,converge,13
1096,variant,7
1097,barrettcrane,3
1098,so4,4
1099,propose,208
1100,implementing,9
1101,cloaking,5
1102,device,39
1103,metamaterials,12
1104,rather,59
1105,slowing,4
1106,speeding,2
1107,manipulate,4
1108,gap,56
1109,paths,19
1110,appropriate,45
1111,length,74
1112,arrangement,6
1113,mirrors,11
1114,vertex,55
1115,network,85
1116,g1,3
1117,nomination,8
1118,seeks,3
1119,exists,48
1120,g2,17
1121,produces,15
1122,list,34
1123,vertices,60
1124,according,50
1125,related,128
1126,retrieval,8
1127,tasks,50
1128,attracted,9
1129,machine,74
1130,numerous,14
1131,applications,158
1132,social,4
1133,biological,7
1134,confined,26
1135,comparatively,4
1136,concept,44
1137,statistically,22
1138,consistent,197
1139,schemes,35
1140,explored,19
1141,extend,68
1142,drawing,10
1143,inspiration,2
1144,recognition,14
1145,definitions,5
1146,key,88
1147,notions,7
1148,bayes,18
1149,optimality,9
1150,consistency,33
1151,derivation,19
1152,universally,3
1153,illustrative,2
1154,examples,82
1155,provided,53
1156,algebraic,26
1157,killing,6
1158,spinors,4
1159,flow,79
1160,four,105
1161,supersymmetries,5
1162,mtheory,11
1163,backgrounds,16
1164,constructed,56
1165,nontrivial,39
1166,21dimensional,2
1167,analog,7
1168,generalizations,7
1169,involve,16
1170,m2branes,4
1171,spreading,8
1172,radially,17
1173,fashion,6
1174,coulomb,25
1175,branch,27
1176,appear,60
1177,undergo,9
1178,dielectric,44
1179,polarization,130
1180,m5branes,2
1181,naturally,43
1182,earlier,48
1183,spinor,8
1184,generalize,30
1185,harmonic,44
1186,ansatz,7
1187,entire,21
1188,secondorder,24
1189,pde,9
1190,natural,59
1191,hybrid,44
1192,holonomy,3
1193,deformation,30
1194,canonical,33
1195,supersymmetry,32
1196,projector,3
1197,comprehensive,20
1198,vlbi,5
1199,monitoring,18
1200,indicate,59
1201,superluminal,3
1202,knot,5
1203,cause,23
1204,gammaray,15
1205,locations,14
1206,rapid,30
1207,variability,35
1208,timescale,25
1209,challenge,17
1210,inferred,39
1211,lie,29
1212,ghz,49
1213,core,86
1214,parsecs,3
1215,central,145
1216,bl,6
1217,lac,4
1218,object,51
1219,cell,27
1220,frequencydependent,7
1221,feature,75
1222,dilemma,2
1223,blazar,6
1224,dictionary,5
1225,threedimensional,40
1226,schrodinger,25
1227,spacetimes,32
1228,step,47
1229,identification,20
1230,dual,48
1231,expansion,107
1232,bulk,84
1233,turns,24
1234,subtle,6
1235,discuss,181
1236,detail,44
1237,renormalization,24
1238,linearized,17
1239,level,134
1240,holographically,4
1241,twopoint,15
1242,functions,254
1243,energymomentum,9
1244,tensor,86
1245,irrelevant,3
1246,multitrace,2
1247,counterterms,4
1248,parametrize,2
1249,dependence,120
1250,nonrelativistic,13
1251,ward,4
1252,identities,14
1253,expectations,8
1254,lead,74
1255,valuable,10
1256,insights,28
1257,regarding,14
1258,holography,7
1259,asymptotically,39
1260,ads,11
1261,novel,116
1262,called,78
1263,weighted,27
1264,specifically,42
1265,addresses,6
1266,challenging,30
1267,issues,19
1268,process,165
1269,noisy,21
1270,deal,11
1271,situation,17
1272,overall,40
1273,edwsvr,3
1274,optimizes,3
1275,margin,8
1276,mean,119
1277,tackle,7
1278,coordinate,20
1279,descent,24
1280,cd,6
1281,averaged,13
1282,stochastic,77
1283,gradient,83
1284,scalable,22
1285,promising,39
1286,existing,96
1287,several,233
1288,benchmark,20
1289,datasets,86
1290,warm,35
1291,trm,4
1292,pulsating,11
1293,da,8
1294,white,37
1295,dwarf,68
1296,wd,10
1297,stars,383
1298,hotter,7
1299,zz,3
1300,ceti,2
1301,predicted,71
1302,yr,5
1303,ago,13
1304,date,13
1305,reexamine,4
1306,pulsational,3
1307,predictions,87
1308,wds,15
1309,basis,50
1310,sequences,29
1311,das,4
1312,tess,6
1313,satellite,32
1314,content,34
1315,lesssim,12
1316,logmrm,2
1317,hmstar,2
1318,timedependent,21
1319,diffusion,51
1320,nonadiabatic,9
1321,pulsations,3
1322,computed,45
1323,focusing,36
1324,ell,7
1325,periods,24
1326,zones,8
1327,inhibit,3
1328,excitation,62
1329,partial,57
1330,ionization,32
1331,envelope,17
1332,hhe,3
1333,assumed,41
1334,abrupt,5
1335,exhibit,62
1336,instability,42
1337,instabilities,17
1338,envelopes,9
1339,agreement,113
1340,none,8
1341,pulsate,2
1342,suggests,64
1343,nondetection,5
1344,thin,72
1345,attributed,18
1346,zone,28
1347,indirect,14
1348,proof,59
1349,indeed,33
1350,operates,7
1351,interior,29
1352,create,22
1353,interface,68
1354,euo,2
1355,ferromagnetic,30
1356,insulator,22
1357,srtio3,13
1358,transparent,7
1359,nonmagnetic,14
1360,oxidebased,2
1361,electronics,8
1362,achieved,58
1363,insitu,9
1364,reaction,27
1365,pure,41
1366,metallic,31
1367,eu,5
1368,room,28
1369,surface,260
1370,innovative,3
1371,bottomup,2
1372,oxides,10
1373,scaled,7
1374,additionally,27
1375,resulting,103
1376,capping,2
1377,layer,89
1378,tuned,12
1379,depending,58
1380,thickness,40
1381,creating,13
1382,2dess,2
1383,deposition,15
1384,elementary,14
1385,reducing,24
1386,agents,8
1387,et,95
1388,al,102
1389,mater,2
1390,produce,54
1391,active,114
1392,eg,61
1393,enabling,17
1394,realization,21
1395,additional,86
1396,designing,12
1397,highprecision,9
1398,crucial,34
1399,importance,53
1400,practice,17
1401,continuous,77
1402,looks,2
1403,choice,36
1404,specify,7
1405,superconducting,12
1406,circuit,10
1407,qed,19
1408,highquality,7
1409,extensively,11
1410,exploited,12
1411,decade,11
1412,rule,44
1413,numerically,45
1414,simulate,11
1415,likelihood,28
1416,estimator,41
1417,rabi,3
1418,qubit,29
1419,proper,52
1420,design,90
1421,interaction,177
1422,strength,94
1423,precision,58
1424,beyond,68
1425,since,73
1426,resource,5
1427,involved,13
1428,correlation,129
1429,signals,58
1430,behavior,89
1431,examines,2
1432,magnetosphere,7
1433,accretion,96
1434,disk,156
1435,magnetospheric,2
1436,ejections,7
1437,mes,8
1438,reconnection,19
1439,lines,168
1440,connecting,10
1441,aim,51
1442,evaluate,33
1443,momentum,100
1444,young,62
1445,protostars,13
1446,axisymmetric,17
1447,magnetohydrodynamic,13
1448,dipolar,11
1449,viscous,16
1450,resistive,2
1451,alpha,51
1452,prescriptions,2
1453,transport,107
1454,coefficients,80
1455,designed,21
1456,periodic,59
1457,wind,54
1458,similarly,12
1459,powered,12
1460,efficiently,42
1461,remove,12
1462,extract,10
1463,fraction,113
1464,torque,17
1465,balance,10
1466,spinup,5
1467,truncation,9
1468,corotation,2
1469,radius,107
1470,enters,3
1471,regime,95
1472,torques,12
1473,exerted,7
1474,contraction,12
1475,spindown,8
1476,compared,166
1477,ghosh,2
1478,lamb,2
1479,nevertheless,18
1480,requires,56
1481,strong,231
1482,tauri,12
1483,acting,17
1484,take,33
1485,account,100
1486,nonaxisymmetric,3
1487,multipolar,4
1488,components,107
1489,origin,79
1490,xboson,5
1491,value,152
1492,around,115
1493,mboxmev,2
1494,motivated,33
1495,leptons,17
1496,hypothetical,5
1497,possibly,41
1498,describe,83
1499,fifth,6
1500,scenario,86
1501,interacting,49
1502,u1,20
1503,symmetry,162
1504,attached,6
1505,kinetic,28
1506,photon,89
1507,revisited,5
1508,thereby,26
1509,hidden,30
1510,qft,2
1511,renormalizable,6
1512,gauge,164
1513,analyzed,37
1514,perturbative,22
1515,correction,25
1516,propagator,7
1517,calculated,78
1518,yield,38
1519,electrons,74
1520,anomalous,44
1521,moment,36
1522,magnitude,114
1523,muon,15
1524,discussed,107
1525,furthermore,85
1526,constant,147
1527,colliders,11
1528,chargino,5
1529,contributions,54
1530,wouldbe,2
1531,odd,14
1532,production,68
1533,asymmetries,6
1534,indispensable,2
1535,determining,33
1536,monolayer,24
1537,te,4
1538,suggested,28
1539,recent,207
1540,2d,64
1541,great,18
1542,electronic,101
1543,optoelectronic,12
1544,promises,3
1545,epitaxial,13
1546,highly,75
1547,oriented,22
1548,pyrolytic,2
1549,graphite,7
1550,substrate,34
1551,epitaxy,3
1552,scanning,17
1553,microscopy,32
1554,ultrathin,10
1555,layers,69
1556,reveals,38
1557,cells,12
1558,theoretically,53
1559,whereas,36
1560,thicker,6
1561,films,62
1562,crystal,52
1563,semiconductors,15
1564,bandgaps,2
1565,decreasing,25
1566,film,32
1567,narrowing,3
1568,occurs,40
1569,predominantly,13
1570,maximum,102
1571,vbm,2
1572,understood,20
1573,band,123
1574,calculations,110
1575,affine,15
1576,kantowskisachs,2
1577,bianchi,9
1578,iii,54
1579,rank,41
1580,riemann,14
1581,matrix,153
1582,integration,26
1583,classes,53
1584,admit,9
1585,atom,29
1586,interferometer,16
1587,machzehnder,3
1588,atomic,80
1589,supersonic,3
1590,beam,56
1591,lithium,9
1592,seeded,3
1593,argon,2
1594,beamsplitters,2
1595,bragg,19
1596,diffraction,40
1597,standing,6
1598,waves,110
1599,nm,75
1600,give,138
1601,detailed,57
1602,setup,18
1603,procedures,15
1604,align,4
1605,exhibiting,11
1606,interference,37
1607,effects,240
1608,visibility,11
1609,testing,19
1610,sensitivity,43
1611,alignment,9
1612,aims,22
1613,proposing,3
1614,alternative,42
1615,kernel,62
1616,decomposition,53
1617,context,79
1618,machines,11
1619,kernels,35
1620,ksvm,2
1621,svm,30
1622,uses,23
1623,eigendecomposition,2
1624,proposition,2
1625,avoids,6
1626,explain,56
1627,help,38
1628,require,59
1629,illustrate,42
1630,good,89
1631,meson,17
1632,chiral,57
1633,performing,24
1634,momenta,9
1635,quark,36
1636,include,74
1637,isospin,4
1638,breaking,53
1639,relativistic,66
1640,lagrangian,33
1641,ways,18
1642,relevance,12
1643,corrections,59
1644,calculation,57
1645,cylindrically,2
1646,flat,65
1647,einstein,27
1648,electrovacuum,2
1649,known,170
1650,globally,14
1651,causally,2
1652,geodesically,2
1653,hence,46
1654,cosmic,94
1655,censorship,2
1656,holds,29
1657,interesting,48
1658,question,45
1659,whether,58
1660,phenomenological,19
1661,collisionless,9
1662,described,94
1663,equation,193
1664,spherically,17
1665,einsteinvlasov,2
1666,center,56
1667,begin,5
1668,global,123
1669,release,25
1670,ncteq,2
1671,nuclear,62
1672,parton,11
1673,npdfs,2
1674,errors,33
1675,pdfs,7
1676,pdf,18
1677,hessian,2
1678,improvement,25
1679,inclusion,13
1680,pion,9
1681,rhic,3
1682,giving,18
1683,gluon,11
1684,presentation,3
1685,briefly,27
1686,concentrate,7
1687,theorem,64
1688,unavoidable,2
1689,conjectured,23
1690,researchers,5
1691,seymour,4
1692,thomas,3
1693,dark,205
1694,fluid,45
1695,background,113
1696,torsion,14
1697,friedmann,5
1698,modified,69
1699,teleparallel,4
1700,tetrad,6
1701,universe,98
1702,dominates,15
1703,hubble,55
1704,parameterized,5
1705,powerlaw,31
1706,fit,53
1707,eos,17
1708,accelerated,16
1709,follows,22
1710,base,18
1711,sound,21
1712,speed,59
1713,thermodynamics,16
1714,investigated,86
1715,entropies,2
1716,inside,55
1717,apparent,29
1718,analyses,38
1719,camera,18
1720,galaxies,614
